27-02-2020 23.59;;23,21;MWh;958,648;M3;16320;h;63,4;c;40,4;c;7;kW;268;l/h;0;;0;;66,52;MWh;43,31;MWh;0;;0;;126;d;IZAR Plus Portal
27-02-2020 23.59;;18,046;MWh;616,319;M3;15720;h;63;c;27,8;c;1,1;kW;28;l/h;0;;0;;44,437;MWh;26,391;MWh;0;;0;;151;d;IZAR Plus Portal
27-02-2020 23.49;;14,692;MWh;562,46;M3;16320;h;61,2;c;24,7;c;1,2;kW;29;l/h;0;;0;;38,258;MWh;23,566;MWh;0;;0;;126;d;IZAR Plus Portal
27-02-2020 23.28;;12,674;MWh;399,764;M3;15504;h;61,9;c;24,9;c;1,6;kW;37;l/h;0;;0;;28,387;MWh;15,712;MWh;0;;0;;160;d;IZAR Plus Portal
27-02-2020 23.32;;14,538;MWh;585,781;M3;16224;h;63,2;c;28,7;c;1,2;kW;31;l/h;0;;0;;41,63;MWh;27,092;MWh;0;;0;;130;d;IZAR Plus Portal
27-02-2020 23.56;;13,725;MWh;370,003;M3;14760;h;62,6;c;25,5;c;1,9;kW;45;l/h;0;;0;;25,475;MWh;11,75;MWh;0;;0;;191;d;IZAR Plus Portal
27-02-2020 23.59;;15,978;MWh;520,978;M3;13320;h;61,2;c;24,8;c;1,1;kW;27;l/h;0;;0;;36,007;MWh;20,029;MWh;0;;0;;175;d;IZAR Plus Portal
27-02-2020 23.59;;11,79;MWh;363,473;M3;12336;h;39,4;c;23,1;c;0,1;kW;3;l/h;0;;0;;24,79;MWh;12,999;MWh;0;;0;;216;d;IZAR Plus Portal
27-02-2020 23.28;;18,434;MWh;688,149;M3;14136;h;65;c;39,8;c;3,9;kW;137;l/h;0;;0;;49,733;MWh;31,298;MWh;0;;0;;141;d;IZAR Plus Portal
27-02-2020 23.58;;12,263;MWh;372,604;M3;14040;h;63,6;c;46,9;c;2,3;kW;121;l/h;0;;0;;26,089;MWh;13,826;MWh;0;;0;;145;d;IZAR Plus Portal
